consistent	adj. 一致的
stab	n&v. 刺， 戳
abandon	vt. 离弃， 丢弃； 遗弃； 抛弃； 放弃
collaboration	n. 合作， 协作； 勾结
glide	n. 滑行， 滑动； 滑翔
devote	vt. 将…奉献给， 把…专用
crumble	vi. 崩溃， 瓦解 vt. 弄碎
agent	n. 代理人， 代理商； 政府代表； 动因， 原因； 剂
abortion	n. 流产， 堕胎
salvation	n. 拯救， 解救； 解救措施
instinct	n. 本能； 直觉， 生性
cannon	n. 加农炮， 大炮， 火炮
invest	v. 投资， 投入； 授予
reputation	n. 名誉， 名气， 名声
project	v. 伸出； 投射； 放映 n. 方案， 计划； 课题， 项目； 工程
arena	n. 表演场地， 竞技场； 活动场所
independence	n. 独立； 自主； 自立
loom	vi. 阴森地逼近， 隐现； 即将来临 n. 织布机
stationary	adj. 固定的， 静止不动的
impatient	adj. 不耐烦的， 急躁的； 热切的， 急切的
invert	vt. 使倒转， 使倒置， 使颠倒
discrete	adj. 分离的， 不相关联的
psychiatrist	n. 精神科医生， 精神病专家
squad	n. 班， 小队， 小组
disrupt	vt. 使中断； 扰乱
sergeant	n. 中士， 警官
appliance	n. 用具， 器具， 器械
alloy	n. 合金 vt. 将…铸成合金
delusion	n. 欺骗； 哄骗
mass	adj. 大量的，大规模的 v. 聚集， 集中 n. 众多，大量；团，块，堆；群众；质量
update	vt. 更新；使现代化 n. 最新信息
renaissance	n. 文艺复兴， 文艺复兴时期； 复兴， 再生
poisonous	adj. 有毒的； 恶毒的
condemn	vt. 谴责， 指责； 判…刑， 宣告…有罪
assistance	n. 协助， 援助
auction	n&vt. 拍卖
admit	vi. 承认 vt. 承认，供认；准许…进入
definition	n. 定义， 释义， 定界； 清晰， 鲜明
apply	vi. 应用，实施，使用；适用；申请，请求 vt. 涂， 敷， 施
refuge	n. 庇护所， 避难处； 庇护
dramatic	adj. 引人注目的， 激动人心的； 戏剧的
corrode	v. 腐蚀， 侵蚀
spine	n. 脊柱， 脊椎； 刺， 刺毛； 书脊
parasite	n. 寄生生物； 寄生虫
imaginary	adj. 想象中的， 假想的
disgust	n&vt. 厌恶， 憎恶
achievement	n. 完成； 成就， 成绩
desirable	adj. 吸引人的， 可取的
consist	vi. 由…组成； 在于； 一致
critic	n. 批评家， 爱挑剔的人
preliminary	adj. 预备的，初步的 n. 初步做法， 起始行为
profession	n. 职业； 公开表示
van	n. 大篷车， 运货车
discrepancy	n. 不符合， 不一致
refund	n. 退款 vt. 退还
remnant	n. 残留部分
internal	adj. 内的， 国内的； 内心的
classical	adj. 古典的， 经典的
substitute	n. 代替人，代用品 vt. 用…代替
moreover	adv. 而且， 再者， 此外
scatter	vt. 撒， 散播； 使散开， 驱散
federal	adj. 联邦的， 联盟的
verify	vt. 证实， 查证， 证明
undergo	vt. 经历； 经受， 忍受
reward	n. 报答，奖赏；报酬，酬金 vt. 报答， 酬谢， 奖励
coupon	n. 礼券， 优惠券； 配给券， 票证
inhabit	vt. 居住于， 栖居于
degenerate	vi. 衰退，堕落，蜕化 adj. 衰退的，堕落的 n. 堕落者
nurture	n&vt. 养育， 培育， 滋养
appearance	n. 出现， 来到； 外观
culture	n. 文化， 文明； 教养； 培养； 培养菌
paternity	n. 父权， 父子关系
pole	n. 杆； 极， 磁极， 电极
preferable	adj. 更可取的， 更好的， 更合意的
defendant	n. 被告
arrange	v. 安排， 准备； 整理
coarse	adj. 粗的， 粗糙的； 粗劣的； 粗俗的
imply	vt. 暗示， 意指
rejection	n. 拒绝
collision	n. 碰撞； 冲突， 抵触
slogan	n. 标语， 口号； 广告语
tract	n. 传单， 小册子； 大片
configuration	n. 配置， 布局， 构造
chunk	n. 厚片， 大块； 相当大的部分
aggregate	adj. 总计的， 合计的 n. 总数，合计 vt. 总计达， 合计； 使聚集， 使积聚
advantage	n. 优点， 优势； 好处
command	n&vt. 命令， 指挥； 控制
performance	n. 演出； 履行， 执行， 完成； 工作情况， 表现， 工作性能
serial	adj. 连续的， 顺序排列的 n. 连续剧，连载故事
comic	adj. 喜剧的，滑稽的 n. 连环漫画； 喜剧演员
vague	adj. 不明确的； 含糊的； 暧昧的
exception	n. 例外， 除外
ego	n. 自我， 自己， 自尊
spouse	n. 配偶
score	n. 得分，比数，成绩；二十 vt. 分， 给…打分； 画线于； 获胜
isle	n. 小岛， 岛
graduate	adj. 研究生的 v. 毕业 n. 毕业生；研究生
famine	n. 饥荒； 严重的缺乏
scorn	n. 轻蔑，鄙视 vt. 轻蔑， 鄙视； 拒绝， 不屑
sulfur	n. 硫
visual	adj. 看的， 视觉的
terrain	n. 地形， 地势
instruct	vt. 教， 指示； 通知； 教育
economy	n. 经济； 节约， 节省
community	n. 社区， 社会， 公社； 团体， 界； 群落
sprinkle	v. 撒，洒 n. 少量， 少数
subculture	n. 亚文化
utility	n. 效用， 有用
maneuver	vi. 设法变动位置； 用策略， 耍花招 n. 谨慎而熟练的动作；策略，花招；演习 vt. 设法使变动位置；操纵，控制
dual	adj. 双的， 两重的
submarine	adj. 水底的， 海底的 n. 潜水艇
stump	vi. 脚步沉重地走 n. 树桩；残根，残余部分 vt. 把…难住，使为难；在…做巡回演说
behavior	n. 行为， 举止， 表现
federation	n. 联合会； 联邦
descend	vi. 下来，下降 vt. 走下， 爬下
logical	adj. 逻辑的， 合乎常理的
reconciliation	n. 和解， 调和
weird	adj. 古怪的， 离奇的； 怪诞的， 神秘而可怕的
overt	adj. 公开的， 不隐蔽的
refute	vt. 驳斥， 驳倒
register	v. 登记， 注册； 指示， 自动记下； 表示， 表达； 注意到， 记住； 把挂号 n. 登记，注册；登记表，注册簿
communicate	v. 通讯， 交际， 交流； 连接， 相通； 传达， 传播； 传染
evidence	n. 根据， 证据； 证人
stun	vt. 使震惊， 使目瞪口呆； 把…打昏， 使昏迷
acid	adj. 酸的， 酸性的； 尖刻的， 刻薄的 n. 酸
autonomy	n. 自治， 自治权； 人身自由， 自主权
dubious	adj. 怀疑的， 犹豫不决的， 无把握的； 有问题的； 靠不住的
intuition	n. 直觉； 由直觉获知的信息
artillery	n. 火炮， 大炮； 炮兵
educational	adj. 教育的， 教育性的
exquisite	adj. 精美的， 精致的； 敏锐的， 有高度鉴赏力的； 剧烈的， 感觉强烈的
remedy	n. 补救办法，纠正办法；药品，治疗法 vt. 补救， 纠正； 医治， 治疗
cardinal	adj. 最重要的； 基本的 n. 红衣主教；【数】基数
insist	v. 坚持； 坚持要求； 坚决认为
fusion	n. 联合， 合并； 核聚变
volume	n. 卷， 册， 书卷； 容积， 体积； 音量， 响度
mutual	adj. 相互的； 共同的
therefore	adv. 因此， 所以
exchange	n&vt. 交换； 交流； 兑换
indignant	adj. 愤怒的， 愤慨的， 义愤的
cynical	adj. 愤世嫉俗的， 怀疑的
scoop	v. 舀出； 抢在之前报道新闻 n. 勺子；抢先报道的新闻
companion	n. 同伴， 共事者； 伴侣
culminate	vi. 告终
behave	vi. 表现，举止；运转，做出反应 vt. 检点自己的行为
strand	n. 股，缕；一个组成部分 vt. 使搁浅
engine	n. 引擎， 发动机； 机车
linen	n. 日用织品； 亚麻织品， 亚麻布
expectancy	n. 预料； 期待； 盼望
citizenship	n. 公民的身份, 公民的职责和权力
label	n. 标签，标记，符号 vt. 贴标签于； 把…称为
slippery	adj. 滑的； 狡猾的
contempt	n. 轻视， 蔑视
environment	n. 环境； 外界； 围绕
clone	v. 无性繁殖， 克隆 n. 无性繁殖系，克隆；复制品，翻版
betray	vt. 背叛， 出卖； 失信于， 辜负； 泄露； 暴露， 显露
progressive	adj. 前进的； 渐进的； 进行式的
exempt	adj. 被免除的， 被豁免的 vt. 免除，豁免
physiological	adj. 生理的， 生理学的
aesthetic	adj. 美学的， 审美的； 悦目的， 雅致的
decorate	vt. 装饰， 装潢， 修饰
tendency	n. 趋向， 趋势， 倾向
caption	n. 说明文字， 字幕
toll	v. 敲 n. 过路费，过桥费；伤亡人数，损失
moral	adj. 道德的，有道德的 n. 品行， 道德规范； 寓意
rig	vt. 操纵，垄断；给装配帆及索具；用临时替代材料迅速搭起 n. 船桅的装置， 成套器械
casual	adj. 偶然的； 非正式的； 临时的， 不定期的； 漠不关心的， 冷淡的
similar	adj. 相似的， 类似的
converge	vi. 会合， 互相靠拢； 聚集， 集中； 趋近
compose	vt. 组成， 构成； 创作， 为…谱曲； 使平静， 使镇静
catholic	adj. [C-]天主教的；普遍的，广泛的 n. [C-]天主教徒
partial	adj. 部分的； 不公平的； 偏爱的， 偏袒的
confident	adj. 确信的， 肯定的； 自信的
retain	vt. 保留， 保持
saleable	adj. 适合销售的
manufacturer	n. 制造商， 制造厂
defeat	n&vt. 战胜， 挫败
valid	adj. 有效的， 正当的； 有根据的， 有理的
vacuum	v. 收集； 用真空吸尘器打扫 n. 真空；真空吸尘器
bubble	vi. 冒泡， 起泡， 沸腾 n. 泡，泡沫，水泡，气泡；幻想的计划
electronic	adj. 电子的 n. 电子学； 电子设备
sacred	adj. 神圣的； 宗教的； 神圣不可侵犯的
cathedral	n. 大教堂
overpass	n. 天桥， 立交桥
slip	v. 滑跤，滑落，溜；下降，跌落；悄悄放进 n. 疏漏， 差错
temperament	n. 气质， 性格
moan	vi. 呻吟，呜咽；抱怨，发牢骚 vt. 抱怨 n. 呻吟声， 呜咽声； 怨声， 牢骚
rating	n. 等级， 品级， 评定结果； 收视率， 收听率
assertive	adj. 断定的； 过分自信的
autonomous	adj. 自治的； 独立自主的
trial	n. 试， 试验； 审判； 讨厌的人
insect	n. 昆虫， 虫
nasty	adj. 令人讨厌的， 令人厌恶的； 难弄的， 困难的； 严重的， 恶劣的， 险恶的； 下流的， 道德败坏的
border	vi. 近似， 与…接壤 n. 边，边缘，边界 vt. 给…加上边，围；邻接
articulate	adj. 善于表达的， 发音清晰的； 表达得清楚有力的 vt. 明确有力地表达； 清楚地吐， 清晰地发
expense	n. 花费， 消费， 费用； 开支， 业务费用
yell	n&vi. 号叫， 叫喊
contemporary	adj. 现代的， 当代的； 同时代的
tribe	n. 部落； 族
minibus	n. 小型公共汽车
repetitive	adj. 重复的， 反复性的
precipitate	v. 使突然发生； 猛然抛下； 使沉淀
financial	adj. 财政的， 金融的
slot	n. 狭缝，狭槽；位置，空位 vt. 把…放入狭长开口中； 把…纳入其中， 使有位置
harden	v. 变硬
rot	v. 腐烂，腐朽 n. 腐烂， 腐朽
dictate	v. ['dIkteIt] n. 口授； 命令， 规定， 要求
subjective	adj. 主观的， 个人的
blossom	vi. 开花； 发展， 长成 n. 花
blunt	adj. 钝的；率直的，直言不讳的 vt. 使迟钝； 使减弱； 使钝
air-conditioning	n. 空调设备， 空调系统
employment	n. 工作； 雇用； 使用
transport	vt. 运输 n. 运输， 运输工具
application	n. 申请， 申请书； 施用， 涂抹； 应用， 实施； 实用性
prune	vt. 修剪， 修整； 删除， 削减
semester	n. 学期
flare	vi. 闪耀，烧旺；突发，突然发怒 n. 闪光信号， 照明弹
maintain	vt. 维持； 维修， 保养； 主张； 赡养
bargain	vi. 讨价还价 n. 特价商品；协议，交易
professional	adj. 职业的，专业的，专门的 n. 自由职业者， 专业人员
nil	n. 无， 零
migrant	n. 移居者， 移民； 候鸟， 迁移动物
protein	n. 蛋白质
annual	adj. 每年的，一年一次的 n. 年报， 年鉴； 一年生的植物
repertoire	n. 全部节目
poverty	n. 贫穷， 贫困
pearl	n. 珍珠； 珠状物； 珍品
remain	vi. 剩下，余留，保持；仍然是 n. 残余； 残骸； 遗迹
pregnancy	n. 怀孕
demand	vt. 要求，需要；询问 n. 要求， 需要
visceral	adj. 内脏的， 腑脏的； 出自内心的， 发自肺腑的
instructional	adj. 指导的， 教育的
odor	n. 气味
acquire	vt. 取得， 获得； 学到
beverage	n. 饮料
insane	adj. 极蠢的， 荒唐的； 精神病的， 精神失常的， 疯狂的
cemetery	n. 墓地， 公墓
triumph	vi. 成功 n. 凯旋，胜利
detection	n. 察觉， 发觉； 侦查， 探测
bowel	n. 肠； 内部， 深处
pudding	n. 布丁
boring	adj. 令人厌烦的， 乏味的， 无聊的
describe	vt. 形容， 描写； 画出
dilemma	n. 窘境， 困境
wealthy	adj. 富的， 富裕的
slum	n. 贫民窟
occasional	adj. 偶尔的， 间或发生的
debate	n&v. 争论， 辩论
furniture	n. 家具
donate	vt. 捐赠， 赠送
defiance	n. 违抗； 藐视
attractive	adj. 有吸引力的， 引起注意的
bleed	vi. 出血，流血；泌脂 vt. 勒索…的钱
rein	n. 缰绳 vt. 勒缰使停步； 控制， 约束
decrease	v. 减少 n. [dI'kriːs]
materialism	n. 唯物主义
Easter	n. 复活节
occupy	vt. 占领； 占； 占有
string	n. 线， 细绳； 一串， 一行
absence	n. 缺席， 不在； 缺席的时间， 外出期； 缺乏， 不存在
attract	vt. 吸引， 引起…注意
snatch	vi. 一把抓住 vt. 夺，夺走，抢走；一下子拉，一把抓住；抓住机会做，抽空做 n. 片断
blink	vi. 眨眼睛；闪亮，闪烁 n. 眨眼睛； 一瞬间
perfume	n. 香水，香料，香气 vt. 使充满芳香； 洒香水于
recession	n. 衰退， 衰退期
statement	n. 陈述， 声明； 结算单， 报表
trademark	n. 商标， 牌号； 特征， 标记
factor	n. 因素， 因子； 系数
analogous	adj. 类似的， 相似的； 可比拟的
complexion	n. 肤色， 面色； 局面； 性质
continuity	n. 连续， 持续
wax	n. 蜡，蜂蜡 vt. 给…上蜡
furthermore	adv. 而且， 此外
discard	vt. 丢弃， 抛弃， 遗弃
rebel	vi. 反叛， 造反； 反对， 不服从 n. 反叛分子，反对者
bounce	v. 弹起，反弹，颠跳 n. 弹， 反弹
obscene	adj. 淫秽的， 下流的； 可憎的， 可恶的
tissue	n. 组织； 薄绢， 薄纸， 手巾纸
modest	adj. 谦虚的； 适中的； 羞怯的
hatred	n. 憎恶， 憎恨， 仇恨
slice	n. 薄片，切片，部分 vt. 切， 削， 剁
electron	n. 电子
embed	vt. 把…嵌入， 扎牢； 使深留脑中
promising	adj. 有希望的， 有前途的
slick	adj. 圆滑的， 口齿伶俐的； 精巧的， 巧妙的， 灵巧的； 光滑的， 滑溜的
item	n. 条， 条款
canvas	n. 帆布； 帆布画布， 油画
superintendent	n. 主管人， 监管人， 负责人； 警长
probability	n. 可能性， 可能发生的事； 概率
rely	vi. 依靠， 依赖； 信赖， 指望
utilize	vt. 利用
sticky	adj. 黏性的， 胶粘的； 湿热的
implicit	adj. 不言明的， 含蓄的； 内含的， 固有的； 无疑问的
intensify	v. 增强， 加剧
purity	n. 纯净， 纯洁， 纯正
settle	v. 安排， 安放； 调停； 支付， 核算； 安家； 飞落， 停留； 安定
scrape	v. 刮，擦；勉强过日子 n. 刮， 擦； 刮擦声
femininity	n. 女性气质
reliance	n. 依靠， 依赖
explore	v. 探险， 探索； 仔细查阅， 探究
display	n&vt. 陈列， 展览； 显示
electricity	n. 电
climate	n. 气候； 风土， 地带； 风气， 气氛
tentative	adj. 试探的， 试验的
criticize	vt. 批评， 评论， 非难
economic	adj. 经济的；经济学的 n. 经济学； 经济状况
transistor	n. 晶体管， 晶体管收音机
giggle	n. 咯咯笑， 傻笑
arrest	vt. 逮捕，拘留；停止，阻止；吸引 n. 逮捕， 拘留， 扣留
notification	n. 通知， 告示； 通知书
foil	n. 箔，金属薄片；陪衬，衬托 vt. 挫败， 使受挫折
cellar	n. 地窖， 地下室； 酒窖
package	n. 包裹，包装；一揽子交易 vt. 把…打包； 包装
intrigue	vi. 耍阴谋，施诡计 vt. 激起…的好奇心，迷住 n. 阴谋， 诡计， 密谋
nutrition	n. 营养
transfer	v. 搬， 转移； 调动， 转学； 转让， 过户； 乘车， 转乘
veteran	adj. 经验丰富的 n. 老手；老兵
esthetic	adj. 美学的， 审美的； 悦目的， 雅致的
elementary	adj. 基本的， 初级的
eagle	n. 鹰
solemn	adj. 庄严的， 隆重的； 严肃的
acute	adj. 严重的； 急性的； 灵敏的， 敏锐的； 精明的
limitation	n. 限制， 限度； 局限
faith	n. 信任， 信心； 信仰， 信条
highlight	vt. 强调，突出，使显著 n. 最精彩的部分， 最重要的事件
candidate	n. 候选人， 投考者， 申请求职者
database	n. 数据库
intelligible	adj. 可理解的， 明白易懂的， 清楚的
parallel	adj. 并列的，平行的；类似的；对应的；并联的 n. 可相比拟的事物，相似处；平行线，平行面；纬线 vt. 与…相似， 与… 相当， 比得上
breach	n. 破坏，违反；破裂，不和；缺口，裂口 vt. 攻破， 在…造成缺口； 破坏， 违反
